"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Path Planning Research for Mobile Robot Based on Reinforcement Learning Particle Swarm Algorithm","Y. Yang; L. Zhang; H. Guo","School of Electrical and Automation Engineering, Shandong University of Science and Technology, Qingdao, China; School of Electrical and Automation Engineering, Shandong University of Science and Technology, Qingdao, China; School of Mechanical and Electronic Engineering, Shandong University of Science and Technology, Qingdao, China",2024 7th International Conference on Advanced Algorithms and Control Engineering (ICAACE),"18 Jun 2024","2024","","","1577","1580","Traditional mobile robots commonly utilize the Q-learning algorithm in reinforcement learning for path planning. This paper proposes an reinforcement learning particle swarm algorithm(RLPSO) that combines the particle swarm algorithm and the Q-learning algorithm to address the convergence problems of the traditional Q-learning algorithm in path planning. These problems include slow speed, long planning path, and low search efficiency. The proposed approach first explores the unknown environment through Q-learning to create a Q matrix, which is then used to calculate the fitness value of each particle. Subsequently, the environment is further explored using the particle swarm algorithm, and the optimal hyperparameters in the Q-learning algorithm are determined based on a predefined multi-objective planning function. Finally, the RLPSO algorithm is simulated and calculated using MATLAB software. Experimental results demonstrate that the RLPSO algorithm accelerates convergence, reduces the planning path length, and enhances search efficiency, enabling the mobile robot to find the optimal path efficiently.","","979-8-3503-6144-5","10.1109/ICAACE61206.2024.10549138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549138","mobile robots;path planning;Q-Learning;particle swarm algorithm","Q-learning;Software algorithms;Search problems;Path planning;Software;Planning;Mobile robots","","2","","11","IEEE","18 Jun 2024","1-3 March 2024","1-3 March 2024","IEEE","IEEE Conferences"
"Path planning of mobile robot based on particle swarm algorithm in complex situation","S. Chen; Z. Zhang; K. Zhou","Shanghai Normal University, Shanghai, China; Huazhong University of Science and Technology, Wuhan, China; Henan University, Kaifeng, China",2024 IEEE 6th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),"14 Jan 2025","2024","","","1223","1227","This paper presents a novel path planning method for mobile robots leveraging particle swarm optimization (PSO). The primary objective of this method is to efficiently generate smooth, obstacle-avoiding paths within a short timeframe, enabling the robot to navigate effectively from its starting point to the target point amidst complex environmental constraints. To achieve this goal, an enhanced PSO algorithm is proposed, incorporating an optimized Linearly Decreasing Inertia Weight (LDIW) strategy. This algorithm dynamically adjusts the inertia weight of individual particles based on their fitness values. This dynamic adjustment ensures a balanced exploration-exploitation trade-off during the search process, facilitating comprehensive exploration of the solution space while promoting rapid convergence to the optimal solution. Extensive simulation experiments demonstrate the effectiveness of the proposed approach, yielding highly promising results. The improved PSO algorithm, with its dynamic inertia weight adaptation, demonstrably enhances the efficiency of path planning for mobile robots navigating complex environments. The simulation results conclusively validate the algorithm’s capability in generating smooth obstacle avoidance paths.","","979-8-3503-8941-8","10.1109/ICCASIT62299.2024.10827981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10827981","Particle swarm algorithm;mobile robot;path planning;LDIW","Navigation;Heuristic algorithms;Simulation;Scalability;Path planning;Robustness;Safety;Mobile robots;Particle swarm optimization;Collision avoidance","","","","10","IEEE","14 Jan 2025","23-25 Oct. 2024","23-25 Oct. 2024","IEEE","IEEE Conferences"
"Robot Arm Movement Control by Model-based Reinforcement Learning using Machine Learning Regression Techniques and Particle Swarm Optimization","M. Mueangprasert; P. Chermprayong; K. Boonlong","Department of Mechanical Engineering, Faculty of Engineering, Burapha University, Country Chonburi, Thailand; Department of Mechanical Engineering, Faculty of Engineering, Burapha University, Country Chonburi, Thailand; Department of Mechanical Engineering, Faculty of Engineering, Burapha University, Country Chonburi, Thailand","2023 Third International Symposium on Instrumentation, Control, Artificial Intelligence, and Robotics (ICA-SYMP)","22 Feb 2023","2023","","","83","86","Robot arms are machines which are not only used in industrial technologies but also other applications such as medicine and agriculture. The robot arm movement control is important in the use of robot arms. This paper presents model-based reinforcement learning (MBRL) in robot arm movement control in case studies where targets are in random positions. The numerical studies of 2 and 3-DOF robots moving in planar motion are used as test problems. In 2-DOF robot control, 2 tasks - placing and reaching are employed. In 3-DOF robot control, noise is considered. Machine learning regression techniques - Gaussian process regression (GPR), artificial neural network (ANN), and support vector regression (SVR) - are used in environment modelling in MBRL while particle swarm optimization (PSO) is used as optimization tool in MBRL. The numerical studies show that MBRL with GPR has the highest performance with at least 95% success rate while MBRL with the other regression techniques such as ANN and SVR can succeed only 23-93% and 31-47%, respectively. Therefore, MBRL with GPR and PSO is suitable for robot arm movement control.","","978-1-6654-7353-8","10.1109/ICA-SYMP56348.2023.10044940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044940","robot arm control;model-based reinforcement;machine learning;regression;particle swarm optimization","Service robots;3-DOF;Robot control;Artificial neural networks;Reinforcement learning;Manipulators;Numerical models","","11","","10","IEEE","22 Feb 2023","18-20 Jan. 2023","18-20 Jan. 2023","IEEE","IEEE Conferences"
"Research on Path Planning of Body Welding Robot Based on Improved Particle Swarm Optimization","L. Yan; Z. Shu","College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China",2023 5th International Symposium on Robotics & Intelligent Manufacturing Technology (ISRIMT),"15 Feb 2024","2023","","","161","164","Conventional white body welding robots executed welding path planning manually, with a long planning cycle and low production efficiency. In last couple years, in the wake of the emergence of artificial intelligence technique, a good deal of intelligent biomimetic algorithms came to be proffered wherefore applied to robot path planning. This article will sort out the path planning complication regarding multirobot welding by dint of using particle swarm intelligence algorithm, which is of great consequence for automated path planning and enhancing production efficiency.","","979-8-3503-1608-7","10.1109/ISRIMT59937.2023.10428405","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428405","Path planning;White body welding;Particle Swarm;Multirobot","Productivity;Welding;Path planning;Planning;Multi-robot systems;Particle swarm optimization;Robots","","","","10","IEEE","15 Feb 2024","22-24 Sept. 2023","22-24 Sept. 2023","IEEE","IEEE Conferences"
"Path Planning of Mobile Robot Based on Improved Particle Swarm","Y. Qi; B. Xie; X. Huang; M. Yuan; C. Zhu","Tianjin University of Technology and Education Institute of Robotics and Intelligent Equipment, Tianjin; Tianjin University of Technology and Education Institute of Robotics and Intelligent Equipment, Tianjin; Tianjin University of Technology and Education Institute of Robotics and Intelligent Equipment, Tianjin; Tianjin University of Technology and Education Institute of Robotics and Intelligent Equipment, Tianjin; Tianjin University of Technology and Education Institute of Robotics and Intelligent Equipment, Tianjin",2020 Chinese Automation Congress (CAC),"29 Jan 2021","2020","","","6937","6944","Path planning is one of the key technologies of robot navigation and control, in path planning, there are some problems in the application of ant colony algorithm, such as slow convergence speed, poor optimization results and incomplete search. In order to improve the mobile robot's ability to search the optimal path to the target point in the global static environment. In this paper, a double improved fusion algorithm of particle swarm optimization and ant colony algorithm is proposed to solve the path planning problem. Firstly, the occupied grid map is constructed based on visual slam technology of depth camera in static environment; Secondly, the improved particle swarm optimization -ant colony algorithm is used for path planning in the grid map: The sub optimal solution is obtained by using the advantages of global search ability and search speed of improved particle swarm optimization, which is transformed into the increment of initial pheromone distribution in the improved ant colony algorithm, and the exact solution of the path problem is solved by using the positive feedback mechanism of the improved ant colony algorithm; Finally, a robot experimental platform is built to verify the effectiveness and practicability of the improved particle swarm optimization and ant colony fusion algorithm. The experimental results show that the fusion algorithm has a certain guiding role for mobile robot path planning.","2688-0938","978-1-7281-7687-1","10.1109/CAC51589.2020.9326521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9326521","Path planning;Particle swarm optimization;Ant colony algorithm;Fusion algorithm;Mobile robot","Particle swarm optimization;Convergence;Heuristic algorithms;Path planning;Cameras;Robot kinematics;Robot vision systems","","3","","19","IEEE","29 Jan 2021","6-8 Nov. 2020","6-8 Nov. 2020","IEEE","IEEE Conferences"
"An Upgraded Particle Swarm Optimization Framework for highly Efficient Robot Navigation","Y. Tan","Mathematics and Computer Science faculty, Jilin Normal University, Siping, China",2025 8th International Conference on Advanced Algorithms and Control Engineering (ICAACE),"9 Jun 2025","2025","","","48","52","A main issue in autonomous driving was robot path planning, but traditional optimization method faces the shortcoming of the complexity and dynamic in the real-world environments. Hence, this study introduces a boosted Particle Swarm Optimization (PSO) for addressing the problems in the traditional. This algorithm introduces a new particle update mechanism by using the personal best positions of previous particles to boost global search ability and search diversity. The results show that the boosted PSO algorithm has more strength than standard PSO in terms of path length, obstacle avoidance, and computational efficiency. Besides, this mechanism avoids premature convergence in local optima of standard PSO. Our work provides a new pathway to import the PSO algorithm for autonomous driving.","","979-8-3315-3508-7","10.1109/ICAACE65325.2025.11020471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11020471","Particle Swarm Optimization (PSO);Path Planning;Autonomous Driving;Algorithm Improvement","Navigation;Heuristic algorithms;Optimization methods;Path planning;Particle swarm optimization;Autonomous vehicles;Standards;Robots;Faces;Convergence","","1","","26","IEEE","9 Jun 2025","21-23 March 2025","21-23 March 2025","IEEE","IEEE Conferences"
"Research on Robot Tracking of Books Returning to Bookshelf Based on Particle Swarm Optimization Fuzzy PID Control","R. Xiaolin; Y. Yi; G. Long; C. Jianbo; M. Tianxiang; Y. Jingya; H. Qinqin","College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong; College of Electrical Engineering, Nantong University, Nantong",2020 Chinese Control And Decision Conference (CCDC),"11 Aug 2020","2020","","","2507","2511","In order to avoid library intelligent returning books to bookshelf robot during the process of searching for books and bookshelves, the tracking time is long and the path deviation is large. The system uses a navigation system based on a fuzzy PID controller based on particle swarm optimization to avoid problems such as empirical parameter selection and parameter invariance in fuzzy PID control. The particle swarm optimization algorithm is used to optimize the controller parameters, enhance the controller's adaptive ability, and improve its control accuracy. Experiments show that the system improves the accuracy of the path, and has a faster response speed and higher tracking accuracy when moving.","1948-9447","978-1-7281-5855-6","10.1109/CCDC49329.2020.9163983","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163983","Track;Particle swarm;Fuzzy PID control;Adaptive","Particle swarm optimization;PI control;PD control;Adaptation models;Mathematical model;Process control;Quantization (signal)","","4","","15","IEEE","11 Aug 2020","22-24 Aug. 2020","22-24 Aug. 2020","IEEE","IEEE Conferences"
"Robot Path Planning Based on Improved Particle Swarm Optimization","W. Fei; W. Ziwei; L. Meijin","Foshan University, Foshan, China; Foshan University, Foshan, China; Foshan University, Foshan, China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","887","891","In order to improve the safety and efficiency of the robot in the process of moving, this paper proposes a new hybrid approach combining two meta-heuristic methods, we used particle swarm optimization (PSO)-based grey wolf optimization (GWO) to solve this problem. In this paper, a chaotic random method is used to generate the initial population. For the traditional particle swarm algorithm, it is easy to fall into the local optimal problem. Inspired by the grey wolf optimizer, a speed classification system is introduced into the traditional particle swarm optimization and the C-GWPSO hybrid algorithm is proposed. Then the robot motion environment model is constructed, the path length and the risk are used to construct the evaluation function. Finally, the proposed approach is implemented in MATLAB working platform, the results show that the improved new algorithm is easy for the robot to find a path with the least cost. This algorithm strengthens the global optimization ability, and has stronger optimization accuracy and ability in path planning.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9390071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9390071","path planning;particle swarm algorithm;grey wolf optimizer;hybrid algorithm","Sociology;Path planning;Classification algorithms;Particle swarm optimization;Statistics;Optimization;Robots","","9","","13","IEEE","2 Apr 2021","26-28 March 2021","26-28 March 2021","IEEE","IEEE Conferences"
"Ameliorated Particle Swarm Optimization Algorithm and Its Application in Robot Path Planning","L. Dong; X. Yuan; C. Zhang; Y. Song; Q. Xu; F. Zhou","School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical & Information Engineering, Shandong University, Weihai, China",2020 Chinese Automation Congress (CAC),"29 Jan 2021","2020","","","5544","5549","Since particle swarm optimization (PSO) was put forward in 1995, it has been paid more and more attention in the research field because of its simple concept and easy implementation. This algorithm can simulate the mutual learning and cooperation behaviour of birds during foraging, and find the optimal solution of the population. However, there are some problems in the development of PSO, such as lack of theoretical basis, high computational cost, easy to fall into local optimums, and so on. This paper starts with the basic PSO algorithm and proposes an improved algorithm applied for robot path planning. In this algorithm, PSO and quantum computing are combined to simplify the search model. The weight factor's self-adjusting strategy is improved, and the convergence speed of the improved algorithm is better. The mutation operation is introduced to the global optimum, which increases the diversity of solutions in the search process. The improved algorithm is used in robot path planning simulation, and the results indicate that the planned path is more safe and reliable.","2688-0938","978-1-7281-7687-1","10.1109/CAC51589.2020.9327685","Independent Innovation Foundation of Shandong University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9327685","Improved particle swarm optimization;Metaheuristics;Quantum computing;Path planning;Mutation","Particle swarm optimization;Path planning;Convergence;Optimization;Heuristic algorithms;Robots;Benchmark testing","","3","","11","IEEE","29 Jan 2021","6-8 Nov. 2020","6-8 Nov. 2020","IEEE","IEEE Conferences"
"Robot Path Planning Based on Improved Particle Swarm Optimization","L. Chen; Y. Zhang; Y. Xue; Y. Chen","State Grid Shanghai Fengxian Electric Power Supply Company, Shanghai, China; State Grid Shanghai Fengxian Electric Power Supply Company, Shanghai, China; Shanghai University of Electric Power, College of Automation Engineering, Shanghai, China; Shanghai University of Electric Power, College of Automation Engineering, Shanghai, China",2022 Power System and Green Energy Conference (PSGEC),"20 Sep 2022","2022","","","507","511","Path planning is one of the research hotspots of today's robotics. This paper makes some improvements in allusion to the issue that particle swarm has poor local search ability and sinks into local optimum easily in robot path planning. In this method, the inflection point factor is introduced into the fitness function to cut down the number of turns and accelerate the convergence of the algorithm, and a new adaptive and dynamically adjusted inertia weight is adopted to adjust the local and global search capabilities of particles, so as to avert sinking into the suboptimization prematurely and improve the search quality. Experimental comparison results indicate that the algorithm can improve the quality of particle search in the early and late stage, so that an optimal path can be planned more quickly and effectively.","","978-1-6654-9993-4","10.1109/PSGEC54663.2022.9881021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881021","particle swarm optimization;inflection point factors;adaptive dynamic adjustment;path planning","Heuristic algorithms;Power system dynamics;Path planning;Planning;Particle swarm optimization;Robots;Convergence","","5","","16","IEEE","20 Sep 2022","25-27 Aug. 2022","25-27 Aug. 2022","IEEE","IEEE Conferences"
