"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Lo S.H.; Chen R.","Lo, S.H. (60576931500); Chen, R. (35326244800)","60576931500; 35326244800","Multi-Objective Task Allocation and Path Planning in Heterogeneous Multi-Robot Systems Using Hierarchical Framework and Reinforcement Learning","2025","2025 International Conference on Automation Technology, Automation 2025","","","","","","0","10.1109/AUTOMATION66991.2025.11389874","https://www.scopus.com/pages/publications/105035616202?origin=resultslist","This study proposes a multi-objective optimization-based framework for task allocation and path planning to address the challenges faced by multi-robot systems in transport-oriented task environments. The framework considers robot capability heterogeneity and load capacity, aiming to minimize task execution time and overall system energy consumption. A hierarchical training architecture divides the process into two stages: the upper layer uses the NSGA-II algorithm to estimate the cost of task allocation strategies and construct a multi-objective solution space, allowing decision-makers to select suitable solutions based on optimization preferences or practical constraints. The lower layer leverages deep neural networks and reinforcement learning to perform multi-agent learning and generate collision-free paths. This architecture supports solution selection based on varying optimization priorities, enabling capability-oriented task distribution aligned with system needs. Simulation and experimental results show that the proposed method effectively handles complex scenarios with task dependencies, improves path learning efficiency and task competition rates, and, while maintaining single-objective solution quality, offers flexible, interpretable options- demonstrating strong applicability and scalability in real-world applications. © 2025 IEEE.","","Cost benefit analysis; Decision making; Deep learning; Energy utilization; Hierarchical systems; Industrial robots; Motion planning; Multiobjective optimization; Multipurpose robots; Robot learning; Robot programming; Heterogeneous multi-robot system; Load capacity; Multi objective; Multi-objectives optimization; Multi-robot systems; Optimisations; Reinforcement learnings; Task allocation; Task environment; Task executions; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105035616202"
"Komol M.M.R.; Tidd B.; Browne W.; Maire F.; Williams J.; Howard D.","Komol, Md Mostafizur Rahman (57221977049); Tidd, Brendan (57221154984); Browne, Will (17433255300); Maire, Frederic (8889369300); Williams, Jason (7409578683); Howard, David (56479956300)","57221977049; 57221154984; 17433255300; 8889369300; 7409578683; 56479956300","Learning Behaviours for Decentralised Multi-Robot Collision Avoidance in Constrained Pathways Using Curriculum Reinforcement Learning","2025","IEEE Robotics and Automation Letters","10","8","","8538","8545","5","10.1109/LRA.2025.3581430","https://www.scopus.com/pages/publications/105008985635?origin=resultslist","Mobile robot teams often require decentralised autonomous navigation through narrow gaps in limited communication environments (e.g., underground search-and-rescue operations). Existing navigation approaches exhibit suboptimal performance for avoiding multi-robot collisions in such bottlenecks due to an inability to address the dynamic nature of the robots. Initial work utilising reinforcement learning has demonstrated success in navigating a single robot through narrow gaps. However, when training agents to produce give-way behaviour for navigating through constrained gaps, end-to-end reinforcement learning using simple rewards suffers from slow convergence due to the increased search space of viable policies. This paper introduces a novel curriculum reinforcement learning framework, incorporating a multi-robot bootstrap curriculum with preprogrammed behaviour to guide initial policy formation, subsequently refined by a gap curriculum that progressively reduces training complexity towards an optimal policy. This framework learns multi-robot interaction behaviours, which are impractical to program manually. Our model achieves a 99% success-rate in give-way behaviour generation without inter-agent communications in high-fidelity simulations. The success-rate reduced to 73% in simulations incorporating noisy sensors, and 60% in field-robot tests, substantiating our model's practical viability despite sensor noise and real-world uncertainties. The simple benchmark methods lack efficiency in basic interaction behaviours. © 2016 IEEE.","collision avoidance; field robotics; Multi-robot systems; reinforcement learning; search and rescue robots","Curricula; Engineering research; Industrial robots; Mobile robots; Multipurpose robots; Navigation; Robot learning; Collisions avoidance; Decentralised; Field robot; Multi-robot systems; Multirobots; Narrow gap; Reinforcement learnings; Robot collisions; Search and rescue robot; Simple++; Collision avoidance; Reinforcement learning","Article","Final","","Scopus","2-s2.0-105008985635"
"Yang Y.; Juntao L.; Lingling P.","Yang, Yang (56596078300); Juntao, Li (57209631818); Lingling, Peng (55206726200)","56596078300; 57209631818; 55206726200","Multi-robot path planning based on a deep reinforcement learning DQN algorithm","2020","CAAI Transactions on Intelligence Technology","5","3","","177","183","311","10.1049/trit.2020.0024","https://www.scopus.com/pages/publications/85091759908?origin=resultslist","The unmanned warehouse dispatching system of the 'goods to people' model uses a structure mainly based on a handling robot, which saves considerable manpower and improves the efficiency of the warehouse picking operation. However, the optimal performance of the scheduling system algorithm has high requirements. This study uses a deep Q-network (DQN) algorithm in a deep reinforcement learning algorithm, which combines the Q-learning algorithm, an empirical playback mechanism, and the volume-based technology of productive neural networks to generate target Q-values to solve the problem of multi-robot path planning. The aim of the Q-learning algorithm in deep reinforcement learning is to address two shortcomings of the robot path-planning problem: slow convergence and excessive randomness. Preceding the start of the algorithmic process, prior knowledge and prior rules are used to improve the DQN algorithm. Simulation results show that the improved DQN algorithm converges faster than the classic deep reinforcement learning algorithm and can more quickly learn the solutions to path-planning problems. This improves the efficiency of multi-robot path planning. Copyright © 2020 Cognitive Computation and Systems. All rights reserved.","","Cognitive systems; Deep learning; Efficiency; Industrial robots; Learning algorithms; Learning systems; Motion planning; Multipurpose robots; Robot programming; Scheduling algorithms; Warehouses; Dispatching systems; Handling robots; Model use; Multi-robot path planning; Network algorithms; Path planning problems; People modeling; Q-learning algorithms; Reinforcement learning algorithms; Reinforcement learnings; Reinforcement learning","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85091759908"
"Yang H.; Xu W.; Pham D.T.; Qi L.; Ba M.","Yang, Hang (59135094900); Xu, Wenjun (57221159460); Pham, Duc Truong (7203009688); Qi, Lei (58653653100); Ba, Mengyuan (57210933403)","59135094900; 57221159460; 7203009688; 58653653100; 57210933403","Decentralised task planning and motion coordination for scalable multi-robot collaborative manufacturing","2026","Robotics and Computer-Integrated Manufacturing","100","","103255","","","2","10.1016/j.rcim.2026.103255","https://www.scopus.com/pages/publications/105029303270?origin=resultslist","This paper introduces a decentralised task planning and motion coordination (TPMC) framework for scalable multi-robot collaborative manufacturing (MRCMfg). Built upon cognitive digital twins, the framework addresses challenges in dynamic system configurations, such as real-time adjustments to the number and position of active robots. The manufacturing process is divided into four phases: cognition, configuration, planning, and coordination. A large language model (LLM) analyses and infers data from cognitive digital twin simulations for state cognition and configuration optimisation, ensuring scalability by dynamically adjusting robot layouts. Multi-agent deep reinforcement learning (MADRL) is employed for TPMC, which relies solely on local observations and incorporates a Transformer, along with a Soft Mixture-of-Experts (MoE) module, to update the policy network. This results in a decentralised decision-making policy with superior scalability and generalisation capabilities. A novel decentralised Soft-Soft Actor-Critic (SSAC) algorithm is developed, integrating a Soft MoE into the policy network, enhancing policy generalisation. The method is trained and tested on a scalable MRCMfg system in cognitive digital twins, specifically for the disassembly of electric vehicle batteries. Experiments demonstrate the approach's effectiveness, scalability, and efficiency in handling dynamic system configurations, as well as achieving efficient TPMC. The paper concludes by highlighting the framework's ability to maintain continuous operation in dynamic environments. The paper also suggests future work on enhancing the coupling mechanisms between task and motion planning (TAMP), integrating stochastic task-duration modelling, and incorporating physical priors into training. © 2026 Elsevier Ltd","Cognitive digital twins; Decentralised policy; Multi-robot collaborative manufacturing; Scalability; Task planning and motion coordination","Cognitive systems; Collaborative robots; Decision making; Deep learning; Digital twin; Industrial robots; Motion planning; Multi agent systems; Multipurpose robots; Robot learning; Robot programming; Stochastic models; Stochastic systems; Cognitive digital twin; Collaborative manufacturing; Decentralized policies; Decentralized task planning; Motion coordination; Multi-robot collaborative manufacturing; Multirobots; Task motion; Task planning; Task planning and motion coordination; Scalability","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105029303270"
"Miao Z.; Huang W.; Zhang Y.; Fan Q.","Miao, Zhenhua (58476663900); Huang, Wentao (55709630300); Zhang, Yilian (56388592500); Fan, Qinqin (36141600700)","58476663900; 55709630300; 56388592500; 36141600700","Multi-Robot Task Allocation Using Multimodal Multi-Objective Evolutionary Algorithm Based on Deep Reinforcement Learning","2024","Journal of Shanghai Jiaotong University (Science)","29","3","","377","387","15","10.1007/s12204-023-2679-7","https://www.scopus.com/pages/publications/85181189541?origin=resultslist","The overall performance of multi-robot collaborative systems is significantly affected by the multi-robot task allocation. To improve the effectiveness, robustness, and safety of multi-robot collaborative systems, a multimodal multi-objective evolutionary algorithm based on deep reinforcement learning is proposed in this paper. The improved multimodal multi-objective evolutionary algorithm is used to solve multi-robot task allocation problems. Moreover, a deep reinforcement learning strategy is used in the last generation to provide a high-quality path for each assigned robot via an end-to-end manner. Comparisons with three popular multimodal multi-objective evolutionary algorithms on three different scenarios of multi-robot task allocation problems are carried out to verify the performance of the proposed algorithm. The experimental test results show that the proposed algorithm can generate sufficient equivalent schemes to improve the availability and robustness of multirobot collaborative systems in uncertain environments, and also produce the best scheme to improve the overall task execution efficiency of multi-robot collaborative systems. © Shanghai Jiao Tong University 2023.","A; deep reinforcement learning; multi-robot cooperation; multi-robot task allocation; multimodal multi-objective evolutionary algorithm; path planning; TP301.6","Deep learning; Evolutionary algorithms; Industrial robots; Learning algorithms; Learning systems; Motion planning; Multipurpose robots; Robot programming; A; Deep reinforcement learning; Multi-modal; Multi-Objective Evolutionary Algorithm; Multi-robot cooperation; Multi-robot task allocation; Multimodal multi-objective evolutionary algorithm; Multirobots; Reinforcement learnings; Tp301.6; Reinforcement learning","Article","Final","","Scopus","2-s2.0-85181189541"
"Alqudsi Y.; Makaraci M.","Alqudsi, Yunes (57201277841); Makaraci, Murat (24781225000)","57201277841; 24781225000","Swarm Robotics for Autonomous Aerial Robots: Features, Algorithms, Control Techniques, and Challenges","2024","4th International Conference on Emerging Smart Technologies and Applications, eSmarTA 2024","","","","","","16","10.1109/eSmarTA62850.2024.10639038","https://www.scopus.com/pages/publications/85203682100?origin=resultslist","With the aim of revolutionizing various industries, the field of Swarm Robotics (SRs) continuously offers efficient solutions to complex tasks. This paper provides a comprehensive review of recent advancements and emerging trends in SR, with a specific focus on the coordination and control of Swarm Aerial Robots (SARs). It examines the key features and characteristics of SR, its integration with swarm intelligence, and fundamental algorithms such as Ant Colony Optimization (ACO), Particle Swarm Optimization (PSO), Genetic Algorithm (GA), and Differential Evolution (DE). The paper also discusses various swarm control techniques, infrastructure requirements, and challenges associated with implementing SR in Aerial Robots. Additionally, the paper outlines future research directions, emphasizing the need for robust, energy-efficient, adaptive algorithms and ethical considerations in deploying autonomous Aerial robot swarms. This study aims to provide a solid foundation for researchers and practitioners, paving the way for future advancements and interdisciplinary collaboration in this promising field. © 2024 IEEE.","Autonomous Robot Swarms; Multi-Robot Systems; Robotic Coordination Challenges; Swarm Control Techniques; Swarm Intelligence Algorithms","Adaptive algorithms; Adversarial machine learning; Ant colony optimization; Genetic algorithms; Industrial robots; Intelligent robots; Microrobots; Multipurpose robots; Swarm intelligence; Aerial robots; Autonomous robot swarm; Control challenges; Control techniques; Multi-robot systems; Robot swarms; Robotic coordination challenge; Swarm control technique; Swarm intelligence algorithms; Swarm robotics; Particle swarm optimization (PSO)","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85203682100"
"Abdelmeguid Y.; Hasan A.","Abdelmeguid, Yassin (60525153700); Hasan, Ammar (37057311800)","60525153700; 37057311800","Energy-Aware Multi-Agent Proximal Policy Optimization with Depletion Safety Constraints for Multi-Robot Coordination","2026","Robotics","15","5","95","","","0","10.3390/robotics15050095","https://www.scopus.com/pages/publications/105040169602?origin=resultslist","Multi-robot systems operating on battery power face fundamental constraints through which energy limitations directly impact mission success. The existing multi-agent reinforcement learning approaches optimize for task performance without explicit energy consideration, leading to inefficient consumption and depletion risk. This paper presents a framework for energy-aware multi-agent coordination that treats battery management as a safety constraint, rather than an optimization objective. We introduce Energy-Aware Multi-Agent Proximal Policy Optimization (EA-MAPPO) with energy-augmented observations and shaped rewards and extend it to Safe Energy-Aware MAPPO (SEA-MAPPO) combining predictive action masking with safety-oriented reward shaping. An experimental validation on the Georgia Tech Robotarium with 7 agents demonstrates that SEA-MAPPO reaches 95% goal completion 19× faster than standard MAPPO, requiring only 0.5 M environment steps versus 9.4 M. Throughout training, SEA-MAPPO reduces cumulative depletion events by 93% compared to MAPPO while maintaining superior energy efficiency. SEA-MAPPO achieves 100% goal completion versus 81.5% for MAPPO at the same training budget. Physical deployment on GTernal robots without fine-tuning achieves 100% goal completion with zero depletion events across 70 robot-trials, with the energy predictor achieving (Formula presented.) with measured power consumption. © 2026 by the authors.","battery management; energy-aware coordination; multi-agent reinforcement learning; multi-robot systems; safe reinforcement learning; swarm robotics","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105040169602"
"Wang Y.; Wang X.; Chen S.; Gu X.","Wang, Ye (58453727400); Wang, Xuewu (57204097127); Chen, Sanyan (57201995868); Gu, Xingsheng (7403203738)","58453727400; 57204097127; 57201995868; 7403203738","Multi-Station Multi-Robot Welding System Planning and Scheduling Based on STNSGA-D: An Industrial Case Study","2024","IEEE Transactions on Automation Science and Engineering","21","4","","7465","7479","14","10.1109/TASE.2023.3343449","https://www.scopus.com/pages/publications/85181576372?origin=resultslist","Automatic welding system is ideally suited for high-volume production of modern manufacturing. The optimization of workpiece mass manufacturing processes on assembly welding lines is a significant practice in the automotive industry to improve production efficiency. Considering the highly coupled characteristics of multiple sub-problems (including task allocation, robot assignment, welding sequence planning, and dual-function robot scheduling) as well as numerous constraints for workpieces and production line configuration, a new unified optimization model for multi-station multi-robot welding system planning and scheduling (MSMRWS-PS) is established. The objectives are to simultaneously minimize the completion time of single workpiece, the completion time difference between adjacent workpieces and the path length of robot movement. After modeling, a multi-objective evolutionary algorithm based on similarity taboo non-dominated sorting rule and individual population density (STNSGA-D) is proposed. A two-layer encoding method is designed to decompose the coupled problem of welding task allocation and welding sequence planning. In cooperation with the two-layer encoding, an encoding scheme combining dominant coding and hidden coding are devised for robot assignment and dual-function robot scheduling. Finally, STNSGA-D is compared with four state-of-the-art multi-objective evolutionary algorithms (MOEAs) on a set of workpiece test instances. The experimental results show that the comprehensive performance of STNSGA-D is superior to the comparison algorithms. The model and solution proposed in this paper can improve the efficiency of mass production in factories, and has important practical significance for optimizing the high-coupling welding systems. Note to Practitioners - This work is motivated by the actual industrial scene of a welding system for assembling, welding and transferring workpieces. Specifically, it pertains to an assembly welding line comprising assembly welding stations, transfer station, unloading station, stationary welding machines and robots. Notably, this line incorporates two dual-function robots that can independently carry out welding and transfer operations, owing to its special configuration. It possesses the ability to weld one workpiece while clamping another. To coordinate the welding and transfer tasks, reduce the waiting time of robots, and enhance the production efficiency, it is imperative to schedule the operations of the dual-function robots. In addition, the reachable space of both dual-function robots encompasses the same station, which means that one of the robots can weld independently, or both robots can weld cooperatively. As a result, the scheduling of dual-function robots must be conducted concurrently with the robot assignment for station. It is also necessary to assign the welding task for stations and plan the welding sequence for robots. These optimization problems are highly coupled to each other, and considering only one of the sub-problem cannot optimize the entire production line. Hence, we present a comprehensive MSMRWS-S-PS model which ignores collisions and propose a corresponding algorithm tailored to effectively optimize the welding system.  © 2004-2012 IEEE.","dual-function robot; multi-objective optimization; robot coordination; Robotic welding; task planning","Assembly; Assembly machines; Automotive industry; Encoding (symbols); Evolutionary algorithms; Gas industry; Industrial robots; Job analysis; Machine design; Motion planning; Multipurpose robots; Population statistics; Production efficiency; Robot applications; Robot programming; Scheduling algorithms; Signal encoding; Unloading; Welding; Dual function; Dual-function robot; Job-Shop scheduling; Multi-objectives optimization; Robot coordination; Robot kinematics; Robotic welding; Service robots; Task analysis; Task planning; Welding; Multiobjective optimization","Article","Final","","Scopus","2-s2.0-85181576372"
"Sahu B.; Das P.K.; Kabat M.R.; Kumar R.","Sahu, Bandita (57213110685); Das, Pradipta Kumar (55371549000); Kabat, Manas Ranjan (24473236500); Kumar, Raghvendra (57198684981)","57213110685; 55371549000; 24473236500; 57198684981","Multi-robot cooperation and performance analysis with particle swarm optimization variants","2022","Multimedia Tools and Applications","81","26","","36907","36930","3","10.1007/s11042-021-10986-x","https://www.scopus.com/pages/publications/85110092843?origin=resultslist","Cooperation and synchronization of multi-robots is a major concern in robotics research field. Two autonomous robots are assumed to carry a stick and called as the twin robots. Different types of Particle Swarm Optimization (PSO) are analyzed for stick carrying task and a brief review of extension and enhancement of PSO is done to identify the parameters used. Path planning of twin robot is done with variants of PSO. Performance of each variant-applied twin is evaluated based on several parameters. These parameters are execution time, number of steps, number of turns, path travelled and path deviated. Fitness value of each twin is calculated in each algorithm to obtain the next position along the solution path. All the algorithms are executed and the pixels are plotted to represent the twin’s trajectory and the performance of PSO variants compared with Artificial Bee Colony Optimization (ABCO) and differential Evolutionary (DE) algorithm. It is observed that PSO variants outperforms with respect to distance value. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Path deviation; Path planning; Performance; PSO variants; Twin robot","Industrial robots; Multipurpose robots; Particle swarm optimization (PSO); Robot programming; Swarm intelligence; Multi-robot cooperation; Multirobots; Particle swarm; Particle swarm optimization variant; Path deviation; Performance; Performances analysis; Robot performance; Swarm optimization; Twin robots; Motion planning","Article","Final","","Scopus","2-s2.0-85110092843"
"Marchesini E.; Farinelli A.","Marchesini, Enrico (57216753456); Farinelli, Alessandro (8856607700)","57216753456; 8856607700","Enhancing Deep Reinforcement Learning Approaches for Multi-Robot Navigation via Single-Robot Evolutionary Policy Search","2022","Proceedings - IEEE International Conference on Robotics and Automation","2022-January","","","5525","5531","31","10.1109/ICRA46639.2022.9812341","https://www.scopus.com/pages/publications/85136338262?origin=resultslist","Recent Multi-Agent Deep Reinforcement Learning approaches factorize a global action-value to address non-stationarity and favor cooperation. These methods, however, hinder exploration by introducing constraints (e.g., additive value-decomposition) to guarantee the factorization. Our goal is to enhance exploration and improve sample efficiency of multi-robot mapless navigation by incorporating a periodical Evolutionary Policy Search (EPS). In detail, the multi-agent training 'specializes' the robots' policies to learn the collision avoidance skills that are mandatory for the task. Concurrently, in this work we propose the use of Evolutionary Algorithms to explore different regions of the policy space in an environment with only a single robot. The idea is that core navigation skills, originated by the multi-robot policies using mutation operators, improve faster in the single-robot EPS. Hence, policy parameters can be injected into the multi-robot setting using crossovers, leading to improved performance and sample efficiency. Experiments in tasks with up to 12 robots confirm the beneficial transfer of navigation skills from the EPS to the multi-robot setting, improving the performance of prior methods. © 2022 IEEE.","","Deep learning; Efficiency; Evolutionary algorithms; Industrial robots; Multi agent systems; Multipurpose robots; Reinforcement learning; Global actions; Multi agent; Multi-robot navigation; Multirobots; Non-stationarities; Performance; Policy search; Reinforcement learning approach; Robot settings; Single-robots; Navigation","Conference paper","Final","","Scopus","2-s2.0-85136338262"
