recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
0,8.55,0.0,0,0,0,0,0,0,final_7d,GNN,none,3.0,results/models/gnn_3d_best_run3.pth,71ed5b8a8b1a,2024,
0,8.54,0.0,0,0,0,0,0,0,final_7d,GNN,none,3.0,results/models/gnn_3d_best_run3.pth,71ed5b8a8b1a,2025,
1,11.09,0.0,0,0,0,0,0,0,final_7d,GNN,none,3.0,results/models/gnn_3d_best_run3.pth,71ed5b8a8b1a,2026,
63,10.18,0.0,0,0,0,0,0,0,final_7d,GNN,none,2.0,results/models/gnn_3d_best_run2.pth,5d34be3b982e,2024,
60,11.51,0.0,0,0,0,0,0,0,final_7d,GNN,none,2.0,results/models/gnn_3d_best_run2.pth,5d34be3b982e,2025,
66,11.21,0.0,0,0,0,0,0,0,final_7d,GNN,none,2.0,results/models/gnn_3d_best_run2.pth,5d34be3b982e,2026,
0,8.53,0.0,0,0,0,0,0,0,final_7d,GNN,none,4.0,results/models/gnn_3d_best_run4.pth,33ba57ed1f3a,2024,
0,8.52,0.0,0,0,0,0,0,0,final_7d,GNN,none,4.0,results/models/gnn_3d_best_run4.pth,33ba57ed1f3a,2025,
1,9.01,0.0,0,0,0,0,0,0,final_7d,GNN,none,4.0,results/models/gnn_3d_best_run4.pth,33ba57ed1f3a,2026,
64,10.19,0.0,0,0,0,0,0,0,final_7d,GNN,none,,results/models/gnn_3d_best.pth,004aabdad61d,2024,
68,11.51,0.0,0,0,0,0,0,0,final_7d,GNN,none,,results/models/gnn_3d_best.pth,004aabdad61d,2025,
65,11.21,0.0,0,0,0,0,0,0,final_7d,GNN,none,,results/models/gnn_3d_best.pth,004aabdad61d,2026,
63,10.19,0.0,0,0,0,0,0,0,final_7d,GNN,none,1.0,results/models/gnn_3d_best_run1.pth,cead0525c44a,2024,
65,11.41,0.0,0,0,0,0,0,0,final_7d,GNN,none,1.0,results/models/gnn_3d_best_run1.pth,cead0525c44a,2025,
66,11.08,0.0,0,0,0,0,0,0,final_7d,GNN,none,1.0,results/models/gnn_3d_best_run1.pth,cead0525c44a,2026,
18,10.1,0.0,0,0,0,0,0,0,final_7d,GNN,none,7.0,results/models/gnn_3d_best_run7.pth,949836fa4d95,2024,
14,10.1,0.0,0,0,0,0,0,0,final_7d,GNN,none,7.0,results/models/gnn_3d_best_run7.pth,949836fa4d95,2025,
18,11.08,0.0,0,0,0,0,0,0,final_7d,GNN,none,7.0,results/models/gnn_3d_best_run7.pth,949836fa4d95,2026,
60,11.17,0.0,0,0,0,0,0,0,final_7d,GNN,none,6.0,results/models/gnn_3d_best_run6.pth,c27f79d0eff0,2024,
65,10.55,0.0,0,0,0,0,0,0,final_7d,GNN,none,6.0,results/models/gnn_3d_best_run6.pth,c27f79d0eff0,2025,
65,11.29,0.0,0,0,0,0,0,0,final_7d,GNN,none,6.0,results/models/gnn_3d_best_run6.pth,c27f79d0eff0,2026,
64,10.19,0.0,0,0,0,0,0,0,final_7d,GNN,none,5.0,results/models/gnn_3d_best_run5.pth,331dd2140eab,2024,
68,11.51,0.0,0,0,0,0,0,0,final_7d,GNN,none,5.0,results/models/gnn_3d_best_run5.pth,331dd2140eab,2025,
65,11.21,0.0,0,0,0,0,0,0,final_7d,GNN,none,5.0,results/models/gnn_3d_best_run5.pth,331dd2140eab,2026,
78,2.6,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,,results/models/gnn_3d_best_u_wall.pth,9dbd46b91049,2024,
82,2.39,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,,results/models/gnn_3d_best_u_wall.pth,9dbd46b91049,2025,
76,1.57,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,,results/models/gnn_3d_best_u_wall.pth,9dbd46b91049,2026,
53,0.29,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,1.0,results/models/gnn_3d_best_u_wall_run1.pth,7d33572f0d83,2024,
47,0.47,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,1.0,results/models/gnn_3d_best_u_wall_run1.pth,7d33572f0d83,2025,
50,0.41,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,1.0,results/models/gnn_3d_best_u_wall_run1.pth,7d33572f0d83,2026,
78,2.6,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,2.0,results/models/gnn_3d_best_u_wall_run2.pth,9b96616b7aae,2024,
82,2.39,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,2.0,results/models/gnn_3d_best_u_wall_run2.pth,9b96616b7aae,2025,
76,1.57,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,2.0,results/models/gnn_3d_best_u_wall_run2.pth,9b96616b7aae,2026,
0,3.02,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,3.0,results/models/gnn_3d_best_u_wall_run3.pth,e50ef7ec2fea,2024,
0,2.83,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,3.0,results/models/gnn_3d_best_u_wall_run3.pth,e50ef7ec2fea,2025,
0,2.09,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,3.0,results/models/gnn_3d_best_u_wall_run3.pth,e50ef7ec2fea,2026,
0,0.53,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,5.0,results/models/gnn_3d_best_u_wall_run5.pth,0235ca14a648,2024,
0,0.8,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,5.0,results/models/gnn_3d_best_u_wall_run5.pth,0235ca14a648,2025,
0,0.9,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,5.0,results/models/gnn_3d_best_u_wall_run5.pth,0235ca14a648,2026,
0,10.94,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2024,
0,10.9,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2025,
0,10.92,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,4.0,results/models/gnn_3d_best_u_wall_run4.pth,abebe41694a0,2026,
143,1.73,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2024,
140,1.53,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2025,
138,2.4,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,,results/models/gnn_3d_best_bottleneck.pth,263b6a99a7e2,2026,
133,1.17,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2024,
134,1.17,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2025,
132,1.36,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,1.0,results/models/gnn_3d_best_bottleneck_run1.pth,d6400d6fa83f,2026,
0,2.17,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,6.0,results/models/gnn_3d_best_u_wall_run6.pth,d407fdb15de9,2024,
0,1.52,0.0,0,0,0,0,0,0,final_7d,GNN,u_wall,6.0,results/models/gnn_3d_best_u_wall_run6.pth,d407fdb15de9,2025,
