timesteps,ep_rew_mean,ep_task_mean,time
400000,273.48486,0.0,2667.273898124695
600000,31.53451,0.0,2963.435385465622
800000,30.581467,0.0,3384.646358013153
1000000,95.71505,0.0,3861.304760456085
1200000,37.258045,0.0,4232.773442029953
1400000,0.29345292,0.0,4577.790659666061
1600000,79.83302,0.0,4858.35279417038
1800000,166.56772,0.0,5125.020341157913
2000000,125.7094,0.0,5443.282744169235
2200000,29.779985,0.0,5748.565370082855
2400000,213.10197,0.0,6017.283128023148
2600000,355.02066,0.0,6272.763466358185
2800000,210.56943,0.0,6517.7943816185
3000000,-43.20647,0.0,6771.570552349091
3200000,-18.096231,0.0,7035.158841133118
