timesteps,ep_rew_mean,ep_task_mean,time
400000,17.966515,0.0,1816.2450704574585
600000,258.38315,0.0,2382.0783762931824
800000,-301.91092,0.0,2461.880124568939
1000000,-263.4685,0.0,2538.1092863082886
1200000,-245.56395,0.0,2614.1140439510345
1400000,942.93225,0.0,2691.572931289673
1600000,-54.662663,0.0,2769.6344408988953
1800000,-114.0311,0.0,2874.315756082535
2000000,63.046513,0.0,2981.9686341285706
2200000,255.30727,0.0,3067.5653285980225
2400000,149.58003,0.0,3235.101217985153
2600000,172.28563,0.0,3374.8951003551483
2800000,320.04218,0.0,3517.171060562134
3000000,89.82977,0.0,3644.827610015869
3200000,124.91083,0.0,3776.3172347545624
3400000,146.33606,0.0,3909.963078737259
3600000,33.747555,0.0,4022.5304551124573
3800000,280.66425,0.0,4124.244357347488
4000000,356.09406,0.0,4228.367779254913
4200000,344.49472,0.0,4334.285645484924
4400000,241.25586,0.0,4442.533264636993
4600000,345.04645,0.0,4550.988096952438
4800000,268.91772,0.0,4636.350104093552
5000000,319.70755,0.0,4709.766044855118
5200000,203.62006,0.0,4822.618757486343
5400000,252.42566,0.0,4904.546275138855
5600000,283.43704,0.0,4989.459578752518
5800000,253.16072,0.0,5070.605114221573
6000000,222.8957,0.0,5154.582551002502
6200000,221.5885,0.0,5241.698900222778
6400000,135.83908,0.0,5329.905437707901
6600000,291.54028,0.0,5430.862877845764
6800000,310.51486,0.0,5522.068956613541
7000000,311.66632,0.0,5614.367807149887
7200000,139.26651,0.0,5708.377903223038
7400000,75.944084,0.0,5810.883307695389
7600000,115.14398,0.0,5897.969926595688
7800000,269.3309,0.0,5980.409080505371
8000000,129.72124,0.0,6065.1928725242615
8200000,231.97377,0.0,6150.219712972641
8400000,91.4298,0.0,6236.81361413002
8600000,130.65735,0.0,6321.132271528244
8800000,386.49976,0.0,6406.553677558899
9000000,300.97723,0.0,6487.923797369003
9200000,209.56183,0.0,6576.934667348862
9400000,297.97113,0.0,6660.362793922424
9600000,123.27163,0.0,6744.902565717697
9800000,483.2912,0.0,6828.79937171936
10000000,2148.223,0.0,6913.989613294601
10200000,122.854225,0.0,7005.9426255226135
10400000,130.91122,0.0,7096.4520399570465
10600000,43.041416,0.0,7179.273333311081
