timestep,best_fitness,avg_fitness,best_task_food,time
217800,750.5121161820649,164.29799614471779,0.0,372.24973607063293
396850,864.4634804224826,423.4005584701976,0.0,823.7875452041626
581450,940.1224154811052,629.8430566038071,0.0,1285.4038469791412
764200,1192.8105306830382,785.6620353981555,0.0,1703.7737691402435
948800,1359.4570130999523,985.1226418267196,0.0,2142.3236062526703
1120450,2066.169892068768,959.5825851478742,0.0,2563.9228777885437
1255100,2082.0534742733603,869.6176731875738,0.0,2928.7264766693115
1417500,2168.9810776362297,1313.3734680037278,0.0,3326.184541940689
1592850,2168.9810776362297,1573.5629725837885,0.0,3715.834616422653
1744150,2204.6692444636287,1554.2384520350786,0.0,4090.191237926483
1915800,2204.6692444636287,1437.9134776202616,0.0,4474.113157510757
2098550,2396.515669988322,1626.1820988022944,0.0,4863.703802585602
2248000,2470.9268445895204,1557.395857064205,0.0,5228.080969572067
2436300,2573.1313149325706,2215.325488276307,0.0,5632.138509511948
2595000,2573.1313149325706,1758.9850376834831,0.0,6001.649005413055
2775900,2573.1313149325706,2080.545557678478,0.0,6400.453271389008
2929050,2573.1313149325706,1849.5787144653304,0.0,6791.790558815002
3074800,2573.1313149325706,1895.0095460435034,0.0,7181.524036645889
3237200,2593.720881102225,1971.5735834770583,0.0,7582.015650987625
