Condicao,Origem,GNN,GNN_sucesso,PPO,PPO_sucesso,SAC,SAC_sucesso
natural,Sandbox,7.25,100.0,0.0,0.0,19.55,100.0
natural,Beco Sem Saída (U),0.0,0.0,0.0,0.0,0.0,0.0
natural,Gargalo,0.0,0.0,0.0,0.0,0.0,0.0
natural,Quatro Salas,0.0,0.0,0.0,0.0,0.0,0.0
natural,Porta Cooperativa,0.0,0.0,0.0,0.0,21.65,100.0
natural,Perceção Cooperativa,17.3,100.0,0.0,0.0,15.8,90.0
natural,Porta Coop. c/ Alternativa,2.5,55.00000000000001,0.0,0.0,20.2,100.0
escala,Sandbox,0.0,0.0,0.0,0.0,15.55,100.0
escala,Beco Sem Saída (U),0.0,0.0,0.45,10.0,0.0,0.0
escala,Gargalo,0.95,10.0,0.0,0.0,0.0,0.0
escala,Quatro Salas,0.0,0.0,1.05,55.00000000000001,0.05,5.0
escala,Porta Cooperativa,0.2,20.0,0.0,0.0,19.15,100.0
escala,Perceção Cooperativa,0.0,0.0,11.5,50.0,0.0,0.0
escala,Porta Coop. c/ Alternativa,0.0,0.0,0.0,0.0,17.2,100.0
sem obstáculos,Sandbox,9.0,100.0,0.0,0.0,16.2,100.0
sem obstáculos,Beco Sem Saída (U),0.0,0.0,0.0,0.0,0.0,0.0
sem obstáculos,Gargalo,0.0,0.0,0.0,0.0,0.0,0.0
sem obstáculos,Quatro Salas,0.0,0.0,0.0,0.0,0.0,0.0
sem obstáculos,Porta Cooperativa,0.0,0.0,0.0,0.0,20.95,100.0
sem obstáculos,Perceção Cooperativa,18.15,100.0,0.0,0.0,14.5,70.0
sem obstáculos,Porta Coop. c/ Alternativa,3.45,55.00000000000001,0.0,0.0,20.9,100.0
sem features da porta,Sandbox,0.05,5.0,0.0,0.0,13.25,100.0
sem features da porta,Beco Sem Saída (U),0.0,0.0,0.0,0.0,0.0,0.0
sem features da porta,Gargalo,0.8,10.0,0.0,0.0,0.0,0.0
sem features da porta,Quatro Salas,0.7,55.00000000000001,0.0,0.0,0.0,0.0
sem features da porta,Porta Cooperativa,0.0,0.0,0.0,0.0,6.15,95.0
sem features da porta,Perceção Cooperativa,20.85,100.0,0.0,0.0,13.2,80.0
sem features da porta,Porta Coop. c/ Alternativa,17.7,60.0,0.0,0.0,14.05,95.0
