food_collected,task_reward,total_reward,episode_length,success,Algorithm,Origem,Mapa,NormObs,Controlo,env_hash,ModeloPath,ModeloData,ModeloFonte
9,2700.0,13950.065967925744,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
6,1800.0,10114.445515968411,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
9,2700.0,10691.468598634889,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
10,3000.0,9860.777487365418,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
7,2100.0,9712.66913801954,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
10,3000.0,7308.67212908643,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
4,1200.0,-56.820650020309245,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
9,2700.0,2470.9355244058806,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
6,1800.0,4416.708312602901,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
9,2700.0,7519.180092690876,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
9,2700.0,13308.572057473051,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
10,3000.0,12028.221046413084,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
9,2700.0,12875.812419952024,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
7,2100.0,4234.196601859535,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
7,2100.0,6692.216174661654,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
3,900.0,262.6951880846749,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
4,1200.0,4485.823757977695,2000,True,GNN,none,mapa_grande,mapa,base,267a7b547aed,results/models_7d/models/gnn_3d_best.pth,2026-07-03T10:48:15,meta
