Run,horizonte,Episode,recolhas,d_min,passos
1,2000,0,0,91.03229432149745,2000
1,4000,0,0,91.03229432149745,4000
2,2000,0,0,21.022539674441614,2000
2,4000,0,11,0.0,4000
3,2000,0,0,66.65584412271559,2000
3,4000,0,0,65.38721497261406,4000
4,2000,0,0,58.89015869776637,2000
4,4000,0,0,57.124473272817134,4000
5,2000,0,0,56.5587878478679,2000
5,4000,0,0,50.62741699796944,4000
6,2000,0,0,57.124473272817134,2000
6,4000,0,0,57.124473272817134,4000
7,2000,0,0,73.69015869776646,2000
7,4000,0,0,57.124473272817134,4000
8,2000,0,0,67.69015869776638,2000
8,4000,0,0,57.29015869776637,4000
9,2000,0,0,68.32447327281716,2000
9,4000,0,0,68.32447327281716,4000
10,2000,0,10,0.4,2000
10,4000,0,10,0.4,4000
11,2000,0,3,0.0,2000
11,4000,0,4,0.0,4000
12,2000,0,0,5.325483399593904,2000
12,4000,0,0,5.325483399593904,4000
13,2000,0,0,11.93137084989848,2000
13,4000,0,0,5.656854249492381,4000
14,2000,0,0,56.724473272817136,2000
14,4000,0,0,56.724473272817136,4000
15,2000,0,0,56.5587878478679,2000
15,4000,0,0,56.5587878478679,4000
16,2000,0,0,42.39310242291871,2000
16,4000,0,0,42.39310242291871,4000
17,2000,0,0,12.89705627484772,2000
17,4000,0,0,12.565685424949244,4000
18,2000,0,0,8.48528137423857,2000
18,4000,0,6,1.5313708498984764,4000
19,2000,0,11,1.6,2000
19,4000,0,22,1.6,4000
20,2000,0,0,6.125483399593904,2000
20,4000,0,0,4.097056274847714,4000
21,2000,0,0,28.165685424949203,2000
21,4000,0,0,5.531370849898475,4000
1,2000,1,9,0.0,2000
1,2000,2,10,0.0,2000
1,4000,1,11,0.0,4000
1,4000,2,11,0.0,4000
2,2000,1,0,15.46274169979696,2000
2,2000,2,0,22.250966799187804,2000
2,4000,1,5,0.0,4000
2,4000,2,8,0.4,4000
3,2000,1,0,68.49015869776639,2000
3,2000,2,0,68.15878784786793,2000
3,4000,1,0,64.98721497261407,4000
3,4000,2,0,65.78721497261407,4000
4,2000,1,0,62.42152954766483,2000
4,2000,2,0,69.7872149726141,2000
4,4000,1,0,57.52447327281713,4000
4,4000,2,0,57.75878784786789,4000
5,2000,1,0,57.124473272817134,2000
5,2000,2,0,74.58721497261416,2000
5,4000,1,0,55.3587878478679,4000
5,4000,2,0,45.02741699796946,4000
6,2000,1,0,57.358787847867895,2000
6,2000,2,0,61.4558441227156,2000
6,4000,1,0,57.358787847867895,4000
6,4000,2,0,57.358787847867895,4000
7,2000,1,0,75.48427124746186,2000
7,2000,2,0,76.97544007200494,2000
7,4000,1,0,57.124473272817134,4000
7,4000,2,0,57.124473272817134,4000
8,2000,1,0,72.09015869776644,2000
8,2000,2,0,74.49015869776647,2000
8,4000,1,0,57.29015869776637,4000
8,4000,2,0,57.29015869776637,4000
9,2000,1,0,68.15878784786793,2000
9,2000,2,0,69.05584412271563,2000
9,4000,1,0,67.38721497261406,4000
9,4000,2,0,67.35878784786792,4000
10,2000,1,10,0.4,2000
10,2000,2,12,0.0,2000
10,4000,1,10,0.4,4000
10,4000,2,12,0.0,4000
11,2000,1,7,0.9656854249492381,2000
11,2000,2,9,1.1313708498984762,2000
11,4000,1,10,0.0,4000
11,4000,2,13,0.0,4000
12,2000,1,0,5.159797974644666,2000
12,2000,2,0,6.428427124746189,2000
12,4000,1,0,4.9254833995939045,4000
12,4000,2,0,4.9254833995939045,4000
13,2000,1,0,11.462741699796954,2000
13,2000,2,0,12.897056274847719,2000
13,4000,1,0,8.153910524340093,4000
13,4000,2,0,8.553910524340093,4000
14,2000,1,0,56.724473272817136,2000
14,2000,2,0,57.124473272817134,2000
14,4000,1,0,56.724473272817136,4000
14,4000,2,0,56.724473272817136,4000
15,2000,1,0,56.1587878478679,2000
15,2000,2,0,56.5587878478679,2000
15,4000,1,0,56.1587878478679,4000
15,4000,2,0,56.5587878478679,4000
16,2000,1,0,43.92447327281718,2000
16,2000,2,0,48.5185858225126,2000
16,4000,1,0,43.75878784786794,4000
16,4000,2,0,41.261731573020235,4000
17,2000,1,0,12.565685424949244,2000
17,2000,2,0,12.897056274847719,2000
17,4000,1,0,12.565685424949244,4000
17,4000,2,0,12.400000000000006,4000
18,2000,1,0,10.016652224137047,2000
18,2000,2,0,8.88528137423857,2000
18,4000,1,5,1.5313708498984764,4000
18,4000,2,5,1.5313708498984764,4000
19,2000,1,0,5.131370849898476,2000
19,2000,2,0,68.58721497261408,2000
19,4000,1,10,1.6,4000
19,4000,2,0,68.58721497261408,4000
20,2000,1,0,9.65685424949238,2000
20,2000,2,0,9.725483399593903,2000
20,4000,1,0,4.497056274847714,4000
20,4000,2,0,4.097056274847714,4000
21,2000,1,0,27.628427124746157,2000
21,2000,2,0,29.13137084989844,2000
21,4000,1,0,2.331370849898476,4000
21,4000,2,0,4.965685424949237,4000
